[owner/repo, lang, label, wilcoxon_pvalue, identical, eff_size, invalid, summary(treatment | control)]
Airblader/Airbladeri3,C,support,7.257E-01,True,0.01132498,negligible,False, Min=0;Median=0.000;Mean=0.087;Max=2;stdDev=0.296 | Min=0;Median=0.000;Mean=0.082;Max=2;stdDev=0.310
ARMmbed/ARMmbedmbedtls,C,help wanted,4.478E-08,False,0.4857143,large,False, Min=0;Median=1.000;Mean=0.958;Max=8;stdDev=1.150 | Min=0;Median=0.000;Mean=0.100;Max=1;stdDev=0.304
audacity/audacityaudacity,C,good first issue,3.238E-09,False,0.3783974,medium,False, Min=0;Median=1.000;Mean=1.333;Max=6;stdDev=1.541 | Min=0;Median=0.000;Mean=0.411;Max=4;stdDev=0.693
betaflight/betaflightbetaflight,C,Help Wanted,4.208E-09,False,0.6105689,large,False, Min=0;Median=1.000;Mean=1.472;Max=6;stdDev=1.250 | Min=0;Median=0.000;Mean=0.250;Max=3;stdDev=0.622
cinder/cinderCinder,C,help wanted,3.894E-01,False,-0.03558052,negligible,False, Min=0;Median=0.000;Mean=0.276;Max=2;stdDev=0.528 | Min=0;Median=0.000;Mean=0.315;Max=3;stdDev=0.549
cleanflight/cleanflightcleanflight,C,Support,3.077E-09,False,0.3512626,medium,False, Min=0;Median=0.000;Mean=1.003;Max=8;stdDev=1.529 | Min=0;Median=0.000;Mean=0.125;Max=2;stdDev=0.396
cloudius-systems/cloudius-systemsosv,C,easy,9.891E-01,True,-0.0006281407,negligible,False, Min=0;Median=0.000;Mean=0.121;Max=2;stdDev=0.341 | Min=0;Median=0.000;Mean=0.203;Max=3;stdDev=0.647
collectd/collectdcollectd,C,help wanted,3.174E-04,False,0.3157213,small,False, Min=0;Median=1.000;Mean=1.152;Max=5;stdDev=1.163 | Min=0;Median=0.000;Mean=0.535;Max=3;stdDev=0.797
curl/curlcurl,C,help wanted,2.200E-16,False,0.7510907,large,False, Min=0;Median=2.000;Mean=2.678;Max=14;stdDev=1.984 | Min=0;Median=0.000;Mean=0.455;Max=4;stdDev=0.766
domoticz/domoticzdomoticz,C,help wanted,1.368E-01,False,-0.09451256,negligible,False, Min=0;Median=1.000;Mean=1.144;Max=4;stdDev=1.120 | Min=0;Median=1.000;Mean=1.357;Max=5;stdDev=1.222
EtchedPixels/EtchedPixelsFUZIX,C,help wanted,4.324E-01,False,0.02448556,negligible,False, Min=0;Median=0.000;Mean=0.126;Max=2;stdDev=0.387 | Min=0;Median=0.000;Mean=0.107;Max=3;stdDev=0.399
facebook/facebookzstd,C,help wanted,4.878E-08,False,0.3325059,medium,False, Min=0;Median=1.000;Mean=0.950;Max=7;stdDev=1.015 | Min=0;Median=0.000;Mean=0.464;Max=8;stdDev=1.004
